plate,rowlett,columnnum,longbarcode,original_plate,original_plate_loc,barcode,pvampplt_rowlet,pvampplt_colnum,snounouname,newplate
VivID_M005-M017,A,5,M9_C9_X6B3I,M9,C9,x6b3i,A,1,M005-M017_A5,Plate 1
VivID_M005-M017,B,3,M9_G5_L3L5F,M9,G5,l3l5f,A,2,M005-M017_B3,Plate 1
VivID_M005-M017,C,5,M9_G10_W9I8W,M9,G10,w9i8w,A,3,M005-M017_C5,Plate 1
VivID_M005-M017,C,7,M17_C7_W6R1V,M17,C7,w6r1v,A,4,M005-M017_C7,Plate 1
VivID_M005-M017,D,5,M9_F11_H2A5O,M9,F11,h2a5o,A,5,M005-M017_D5,Plate 1
VivID_M005-M017,E,1,M9_B3_B0B9L,M9,B3,b0b9l,A,6,M005-M017_E1,Plate 1
VivID_M005-M017,E,5,M12_C4_W5M3R,M12,C4,w5m3r,A,7,M005-M017_E5,Plate 1
VivID_M005-M017,G,1,M9_A5_P0B7X,M9,A5,p0b7x,A,8,M005-M017_G1,Plate 1
VivID_M005-M017,H,1,M9_D5_Z2Q3V,M9,D5,z2q3v,A,9,M005-M017_H1,Plate 1
VivID_M005-M017,H,3,M9_B8_X8N2V,M9,B8,x8n2v,A,10,M005-M017_H3,Plate 1
VivID_M021-M041,A,1,M021_C2_R1A9C,M021,C2,r1a9c,A,11,M021-M041_A1,Plate 1
VivID_M021-M041,A,4,M025_A11_Y5V3D,M025,A11,y5v3d,A,12,M021-M041_A4,Plate 1
VivID_M021-M041,A,9,M040_C1_Z5M8Z,M040,C1,z5m8z,B,1,M021-M041_A9,Plate 1
VivID_M021-M041,B,4,M026_C2_L9W2T,M026,C2,l9w2t,B,2,M021-M041_B4,Plate 1
VivID_M021-M041,B,5,M034_A2_T3V5X,M034,A2,t3v5x,B,3,M021-M041_B5,Plate 1
VivID_M021-M041,C,5,M034_B2_D6N0W,M034,B2,d6n0w,B,4,M021-M041_C5,Plate 1
VivID_M021-M041,C,6,M036_E1_P7M9S,M036,E1,p7m9s,B,5,M021-M041_C6,Plate 1
VivID_M021-M041,C,9,M040_H3_M1A6T,M040,H3,m1a6t,B,6,M021-M041_C9,Plate 1
VivID_M021-M041,D,1,M021_E4_F3C2M,M021,E4,f3c2m,B,7,M021-M041_D1,Plate 1
VivID_M021-M041,D,2,M023_B7_I6R5L,M023,B7,i6r5l,B,8,M021-M041_D2,Plate 1
VivID_M021-M041,D,3,M025_B6_M4N8M,M025,B6,m4n8m,B,9,M021-M041_D3,Plate 1
VivID_M021-M041,D,5,M034_A4_A2T1W,M034,A4,a2t1w,B,10,M021-M041_D5,Plate 1
VivID_M021-M041,D,6,M036_B3_K3L3C,M036,B3,k3l3c,B,11,M021-M041_D6,Plate 1
VivID_M021-M041,D,7,M036_G6_A0B6H,M036,G6,a0b6h,B,12,M021-M041_D7,Plate 1
VivID_M021-M041,D,8,M038_G8_I8N6K,M038,G8,i8n6k,C,1,M021-M041_D8,Plate 1
VivID_M021-M041,E,2,M023_C10_N6F7G,M023,C10,n6f7g,C,2,M021-M041_E2,Plate 1
VivID_M021-M041,E,9,M040_B8_U0B2X,M040,B8,u0b2x,C,3,M021-M041_E9,Plate 1
VivID_M021-M041,F,1,M021_F8_B9O3C,M021,F8,b9o3c,C,4,M021-M041_F1,Plate 1
VivID_M021-M041,F,7,M036_H7_C0H6P,M036,H7,c0h6p,C,5,M021-M041_F7,Plate 1
VivID_M021-M041,G,3,M025_E7_G8B9Y,M025,E7,g8b9y,C,6,M021-M041_G3,Plate 1
VivID_M021-M041,G,7,M036_B8_N5X9Z,M036,B8,n5x9z,C,7,M021-M041_G7,Plate 1
VivID_M021-M041,H,1,M021_G10_W2F8M,M021,G10,w2f8m,C,8,M021-M041_H1,Plate 1
VivID_M021-M041,H,5,M034_C9_V1G2F,M034,C9,v1g2f,C,9,M021-M041_H5,Plate 1
VivID_M021-M041,H,7,M036_B9_S0A7Z,M036,B9,s0a7z,C,10,M021-M041_H7,Plate 1
VivID_M042-M062_plate_1,A,1,M043_A6_Y5I7T,M043,A6,y5i7t,C,11,M042-M062_plate_1_A1,Plate 1
VivID_M042-M062_plate_1,A,11,M051_F5_O3N2H,M051,F5,o3n2h,C,12,M042-M062_plate_1_A11,Plate 1
VivID_M042-M062_plate_1,A,12,M053_B5_N7F1B,M053,B5,n7f1b,D,1,M042-M062_plate_1_A12,Plate 1
VivID_M042-M062_plate_1,A,8,M049_G2_L6M8M,M049,G2,l6m8m,D,2,M042-M062_plate_1_A8,Plate 1
VivID_M042-M062_plate_1,A,9,M050_D11_F2W6K,M050,D11,f2w6k,D,3,M042-M062_plate_1_A9,Plate 1
VivID_M042-M062_plate_1,B,10,M051_B5_C8A6Q,M051,B5,c8a6q,D,4,M042-M062_plate_1_B10,Plate 1
VivID_M042-M062_plate_1,B,3,M045_A10_H9F2X,M045,A10,h9f2x,D,5,M042-M062_plate_1_B3,Plate 1
VivID_M042-M062_plate_1,B,5,M046_B1_N5D7D,M046,B1,n5d7d,D,6,M042-M062_plate_1_B5,Plate 1
VivID_M042-M062_plate_1,B,6,M046_D12_I7B7X,M046,D12,i7b7x,D,7,M042-M062_plate_1_B6,Plate 1
VivID_M042-M062_plate_1,B,8,M049_G3_M2D1S,M049,G3,m2d1s,D,8,M042-M062_plate_1_B8,Plate 1
VivID_M042-M062_plate_1,B,9,M050_E3_J8U1N,M050,E3,j8u1n,D,9,M042-M062_plate_1_B9,Plate 1
VivID_M042-M062_plate_1,C,12,M053_B7_H5C2Q,M053,B7,h5c2q,D,10,M042-M062_plate_1_C12,Plate 1
VivID_M042-M062_plate_1,C,3,M045_C5_I7X7U,M045,C5,i7x7u,D,11,M042-M062_plate_1_C3,Plate 1
VivID_M042-M062_plate_1,C,4,M045_E10_K2T9P,M045,E10,k2t9p,D,12,M042-M062_plate_1_C4,Plate 1
VivID_M042-M062_plate_1,C,7,M046_H8_H9K0B,M046,H8,h9k0b,E,1,M042-M062_plate_1_C7,Plate 1
VivID_M042-M062_plate_1,C,8,M049_G6_I3F8Y,M049,G6,i3f8y,E,2,M042-M062_plate_1_C8,Plate 1
VivID_M042-M062_plate_1,D,2,M043_H2_H7L9J,M043,H2,h7l9j,E,3,M042-M062_plate_1_D2,Plate 1
VivID_M042-M062_plate_1,D,3,M045_C8_Q1E7D,M045,C8,q1e7d,E,4,M042-M062_plate_1_D3,Plate 1
VivID_M042-M062_plate_1,D,6,M046_E8_A1V7E,M046,E8,a1v7e,E,5,M042-M062_plate_1_D6,Plate 1
VivID_M042-M062_plate_1,D,9,M050_E7_O4U7U,M050,E7,o4u7u,E,6,M042-M062_plate_1_D9,Plate 1
VivID_M042-M062_plate_1,E,1,M043_B9_J3A9V,M043,B9,j3a9v,E,7,M042-M062_plate_1_E1,Plate 1
VivID_M042-M062_plate_1,E,2,M043_H3_U1A2X,M043,H3,u1a2x,E,8,M042-M062_plate_1_E2,Plate 1
VivID_M042-M062_plate_1,F,10,M051_C7_F8Z0N,M051,C7,f8z0n,E,9,M042-M062_plate_1_F10,Plate 1
VivID_M042-M062_plate_1,F,3,M045_D3_X8E4O,M045,D3,x8e4o,E,10,M042-M062_plate_1_F3,Plate 1
VivID_M042-M062_plate_1,F,4,M045_H3_G6Y0L,M045,H3,g6y0l,E,11,M042-M062_plate_1_F4,Plate 1
VivID_M042-M062_plate_1,F,6,M046_F3_S3W7Z,M046,F3,s3w7z,E,12,M042-M062_plate_1_F6,Plate 1
VivID_M042-M062_plate_1,F,8,M050_A6_Y4R4Y,M050,A6,y4r4y,F,1,M042-M062_plate_1_F8,Plate 1
VivID_M042-M062_plate_1,G,2,M043_H9_S7U7C,M043,H9,s7u7c,F,2,M042-M062_plate_1_G2,Plate 1
VivID_M042-M062_plate_1,H,1,M043_C12_D6E7U,M043,C12,d6e7u,F,3,M042-M062_plate_1_H1,Plate 1
VivID_M042-M062_plate_1,H,3,M045_D8_J8M0E,M045,D8,j8m0e,F,4,M042-M062_plate_1_H3,Plate 1
VivID_M042-M062_plate_2,A,1,M053_D8_S2V7X,M053,D8,s2v7x,F,5,M042-M062_plate_2_A1,Plate 1
VivID_M042-M062_plate_2,A,10,M061_B12_F7U7O,M061,B12,f7u7o,F,6,M042-M062_plate_2_A10,Plate 1
VivID_M042-M062_plate_2,A,11,M061_D7_M6L2G,M061,D7,m6l2g,F,7,M042-M062_plate_2_A11,Plate 1
VivID_M042-M062_plate_2,A,12,M061_G3_H1J0R,M061,G3,h1j0r,F,8,M042-M062_plate_2_A12,Plate 1
VivID_M042-M062_plate_2,A,3,M054_F3_R8L5Q,M054,F3,r8l5q,F,9,M042-M062_plate_2_A3,Plate 1
VivID_M042-M062_plate_2,A,4,M055_B3_G0O3X,M055,B3,g0o3x,F,10,M042-M062_plate_2_A4,Plate 1
VivID_M042-M062_plate_2,A,5,M055_E7_I5T1I,M055,E7,i5t1i,F,11,M042-M062_plate_2_A5,Plate 1
VivID_M042-M062_plate_2,A,6,M056_E3_C1H1L,M056,E3,c1h1l,F,12,M042-M062_plate_2_A6,Plate 1
VivID_M042-M062_plate_2,A,8,M059_C12_S4I0F,M059,C12,s4i0f,G,1,M042-M062_plate_2_A8,Plate 1
VivID_M042-M062_plate_2,B,1,M053_D12_S4I3I,M053,D12,s4i3i,G,2,M042-M062_plate_2_B1,Plate 1
VivID_M042-M062_plate_2,B,10,M061_C1_V8H4P,M061,C1,v8h4p,G,3,M042-M062_plate_2_B10,Plate 1
VivID_M042-M062_plate_2,B,5,M055_E12_E4C1L,M055,E12,e4c1l,G,4,M042-M062_plate_2_B5,Plate 1
VivID_M042-M062_plate_2,B,6,M056_E5_Y3I5P,M056,E5,y3i5p,G,5,M042-M062_plate_2_B6,Plate 1
VivID_M042-M062_plate_2,B,8,M059_F10_P2H0Y,M059,F10,p2h0y,G,6,M042-M062_plate_2_B8,Plate 1
VivID_M042-M062_plate_2,B,9,M061_A4_J8I7H,M061,A4,j8i7h,G,7,M042-M062_plate_2_B9,Plate 1
VivID_M042-M062_plate_2,C,4,M055_C5_V4C0C,M055,C5,v4c0c,G,8,M042-M062_plate_2_C4,Plate 1
VivID_M042-M062_plate_2,C,5,M055_F8_N0Q2G,M055,F8,n0q2g,G,9,M042-M062_plate_2_C5,Plate 1
VivID_M042-M062_plate_2,D,11,M061_F8_Z8Y6N,M061,F8,z8y6n,G,10,M042-M062_plate_2_D11,Plate 1
VivID_M042-M062_plate_2,D,4,M055_C7_E7J8D,M055,C7,e7j8d,G,11,M042-M062_plate_2_D4,Plate 1
VivID_M042-M062_plate_2,D,7,M057_H5_Y1P8X,M057,H5,y1p8x,G,12,M042-M062_plate_2_D7,Plate 1
VivID_M042-M062_plate_2,E,6,M056_G10_Y9A3L,M056,G10,y9a3l,H,1,M042-M062_plate_2_E6,Plate 1
VivID_M042-M062_plate_2,E,7,M057_H6_I4X5P,M057,H6,i4x5p,H,2,M042-M062_plate_2_E7,Plate 1
VivID_M042-M062_plate_2,E,8,M059_G10_F8U8Q,M059,G10,f8u8q,H,3,M042-M062_plate_2_E8,Plate 1
VivID_M042-M062_plate_2,F,1,M053_F4_F8J9G,M053,F4,f8j9g,H,4,M042-M062_plate_2_F1,Plate 1
VivID_M042-M062_plate_2,F,11,M061_F11_S0H1B,M061,F11,s0h1b,H,5,M042-M062_plate_2_F11,Plate 1
VivID_M042-M062_plate_2,F,4,M055_D8_A7D5P,M055,D8,a7d5p,H,6,M042-M062_plate_2_F4,Plate 1
VivID_M042-M062_plate_2,F,6,M056_H6_K7X5U,M056,H6,k7x5u,H,7,M042-M062_plate_2_F6,Plate 1
VivID_M042-M062_plate_2,G,1,M053_F9_Z4Q5Z,M053,F9,z4q5z,H,8,M042-M062_plate_2_G1,Plate 1
VivID_M042-M062_plate_2,G,5,M056_B4_M6T5R,M056,B4,m6t5r,H,9,M042-M062_plate_2_G5,Plate 1
VivID_M042-M062_plate_2,H,10,M061_D1_H3V0G,M061,D1,h3v0g,H,10,M042-M062_plate_2_H10,Plate 1
VivID_M042-M062_plate_2,H,6,M057_A7_S5N5Q,M057,A7,s5n5q,A,1,M042-M062_plate_2_H6,Plate 2
VivID_M042-M062_plate_2,H,8,M061_A2_U0B7D,M061,A2,u0b7d,A,2,M042-M062_plate_2_H8,Plate 2
VivID_M063-M084,A,5,M079_A4_V2Y3Z,M079,A4,v2y3z,A,3,M063-M084_A5,Plate 2
VivID_M063-M084,B,4,M066_E8_E3Z9Q,M066,E8,e3z9q,A,4,M063-M084_B4,Plate 2
VivID_M063-M084,B,5,M079_A10_H5A2O,M079,A10,h5a2o,A,5,M063-M084_B5,Plate 2
VivID_M063-M084,C,6,M079_F7_N1W2N,M079,F7,n1w2n,A,6,M063-M084_C6,Plate 2
VivID_M063-M084,D,3,M066_C5_C3D8Q,M066,C5,c3d8q,A,7,M063-M084_D3,Plate 2
VivID_M063-M084,D,4,M068_E4_S6T4W,M068,E4,s6t4w,A,8,M063-M084_D4,Plate 2
VivID_M063-M084,E,1,M065_B9_U8M5U,M065,B9,u8m5u,A,9,M063-M084_E1,Plate 2
VivID_M063-M084,E,2,M065_D9_C8E6U,M065,D9,c8e6u,A,10,M063-M084_E2,Plate 2
VivID_M063-M084,E,3,M066_C8_I5J4B,M066,C8,i5j4b,A,11,M063-M084_E3,Plate 2
VivID_M063-M084,E,6,M081_E5_P7M0J,M081,E5,p7m0j,A,12,M063-M084_E6,Plate 2
VivID_M063-M084,G,1,M065_C6_U3T2T,M065,C6,u3t2t,B,1,M063-M084_G1,Plate 2
VivID_M063-M084,G,4,M068_E11_O8O3O,M068,E11,o8o3o,B,2,M063-M084_G4,Plate 2
VivID_M063-M084,H,1,M065_C8_A6G4Q,M065,C8,a6g4q,B,3,M063-M084_H1,Plate 2
VivID_M078_M085-M103,B,2,M102_B7_U5L0L,M102,B7,u5l0l,B,4,M078_M085-M103_B2,Plate 2
VivID_M078_M085-M103,C,1,M098_E4_W7W4F,M098,E4,w7w4f,B,5,M078_M085-M103_C1,Plate 2
VivID_M078_M085-M103,E,2,M102_F4_E5J2U,M102,F4,e5j2u,B,6,M078_M085-M103_E2,Plate 2
VivID_M078_M085-M103,F,2,M102_G4_T2O8S,M102,G4,t2o8s,B,7,M078_M085-M103_F2,Plate 2
VivID_M078_M085-M103,G,2,M102_G7_C4C1J,M102,G7,c4c1j,B,8,M078_M085-M103_G2,Plate 2
VivID_M104-M123,A,1,M105_A5_L5C3V,M105,A5,l5c3v,B,9,M104-M123_A1,Plate 2
VivID_M104-M123,B,1,M105_B7_U1K1H,M105,B7,u1k1h,B,10,M104-M123_B1,Plate 2
VivID_M104-M123,C,1,M105_B10_M6M3I,M105,B10,m6m3i,B,11,M104-M123_C1,Plate 2
VivID_M104-M123,C,2,M105_G4_H6G0T,M105,G4,h6g0t,B,12,M104-M123_C2,Plate 2
VivID_M104-M123,D,1,M105_C2_J2D4S,M105,C2,j2d4s,C,1,M104-M123_D1,Plate 2
VivID_M104-M123,D,5,M123_D9_T6S5X,M123,D9,t6s5x,C,2,M104-M123_D5,Plate 2
VivID_M104-M123,E,1,M105_D6_V2M8S,M105,D6,v2m8s,C,3,M104-M123_E1,Plate 2
VivID_M104-M123,E,5,M123_D10_A0R9B,M123,D10,a0r9b,C,4,M104-M123_E5,Plate 2
VivID_M104-M123,F,2,M106_G9_E6M3Z,M106,G9,e6m3z,C,5,M104-M123_F2,Plate 2
VivID_M104-M123,F,4,M123_B8_Z3L0O,M123,B8,z3l0o,C,6,M104-M123_F4,Plate 2
VivID_M104-M123,G,4,M123_C5_I5P9M,M123,C5,i5p9m,C,7,M104-M123_G4,Plate 2
VivID_M104-M123,H,1,M105_E7_U4W2X,M105,E7,u4w2x,C,8,M104-M123_H1,Plate 2
VivID_M104-M123,H,2,M116_A5_O3K1D,M116,A5,o3k1d,C,9,M104-M123_H2,Plate 2
VivID_M124-M143,A,7,M133_H4_H0R9I,M133,H4,h0r9i,C,10,M124-M143_A7,Plate 2
VivID_M124-M143,A,9,M139_G8_R6T9B,M139,G8,r6t9b,C,11,M124-M143_A9,Plate 2
VivID_M124-M143,B,1,M125_H7_R8C1D,M125,H7,r8c1d,C,12,M124-M143_B1,Plate 2
VivID_M124-M143,B,2,M128_D8_T7Q4V,M128,D8,t7q4v,D,1,M124-M143_B2,Plate 2
VivID_M124-M143,B,5,M131_A7_U8Z8L,M131,A7,u8z8l,D,2,M124-M143_B5,Plate 2
VivID_M124-M143,B,8,M135_H2_W6P1T,M135,H2,w6p1t,D,3,M124-M143_B8,Plate 2
VivID_M124-M143,B,9,M139_H6_N6D3Z,M139,H6,n6d3z,D,4,M124-M143_B9,Plate 2
VivID_M124-M143,C,6,M132_A5_P4P3M,M132,A5,p4p3m,D,5,M124-M143_C6,Plate 2
VivID_M124-M143,D,9,M141_B8_R6J7O,M141,B8,r6j7o,D,6,M124-M143_D9,Plate 2
VivID_M124-M143,E,4,M130_C5_A5Y8M,M130,C5,a5y8m,D,7,M124-M143_E4,Plate 2
VivID_M124-M143,E,6,M132_G4_Y0D4G,M132,G4,y0d4g,D,8,M124-M143_E6,Plate 2
VivID_M124-M143,E,8,M139_B4_C8G3T,M139,B4,c8g3t,D,9,M124-M143_E8,Plate 2
VivID_M124-M143,E,9,M141_C8_H9P8O,M141,C8,h9p8o,D,10,M124-M143_E9,Plate 2
VivID_M124-M143,F,5,M131_C5_J4E7Y,M131,C5,j4e7y,D,11,M124-M143_F5,Plate 2
VivID_M124-M143,F,8,M139_C10_U9U1Z,M139,C10,u9u1z,D,12,M124-M143_F8,Plate 2
VivID_M124-M143,G,8,M139_E6_O8V4W,M139,E6,o8v4w,E,1,M124-M143_G8,Plate 2
VivID_M124-M143,G,9,M141_E5_Q7E0C,M141,E5,q7e0c,E,2,M124-M143_G9,Plate 2
VivID_M124-M143,H,6,M133_F4_R8P5U,M133,F4,r8p5u,E,3,M124-M143_H6,Plate 2
VivID_M124-M143,H,8,M139_E9_P6B1X,M139,E9,p6b1x,E,4,M124-M143_H8,Plate 2
VivID_M124-M143,H,9,M141_F8_H6L9I,M141,F8,h6l9i,E,5,M124-M143_H9,Plate 2
VivID_M144-M163,A,4,M154_H4_G8D4V,M154,H4,g8d4v,E,6,M144-M163_A4,Plate 2
VivID_M144-M163,A,7,M161_D9_W7M7X,M161,D9,w7m7x,E,7,M144-M163_A7,Plate 2
VivID_M144-M163,A,8,M161_F10_E9L1Z,M161,F10,e9l1z,E,8,M144-M163_A8,Plate 2
VivID_M144-M163,B,1,M145_B6_N4N6L,M145,B6,n4n6l,E,9,M144-M163_B1,Plate 2
