plate,rowlett,columnnum,longbarcode,original_plate,original_plate_loc,barcode,sngplt_rowlet,sngplt_colnum,snounouname
VivID_M021-M041,A,3,M025_C2_Z5C5M,M025,C2,z5c5m,A,1,M021-M041_A3
VivID_M021-M041,A,7,M036_G5_R6Z6E,M036,G5,r6z6e,A,2,M021-M041_A7
VivID_M021-M041,B,4,M026_C2_L9W2T,M026,C2,l9w2t,A,3,M021-M041_B4
VivID_M021-M041,C,2,M023_A7_D6R1C,M023,A7,d6r1c,A,4,M021-M041_C2
VivID_M021-M041,D,4,M026_E5_I8E8D,M026,E5,i8e8d,A,5,M021-M041_D4
VivID_M021-M041,D,5,M034_A4_A2T1W,M034,A4,a2t1w,A,6,M021-M041_D5
VivID_M021-M041,D,7,M036_G6_A0B6H,M036,G6,a0b6h,A,7,M021-M041_D7
VivID_M021-M041,D,8,M038_G8_I8N6K,M038,G8,i8n6k,A,8,M021-M041_D8
VivID_M021-M041,E,2,M023_C10_N6F7G,M023,C10,n6f7g,A,9,M021-M041_E2
VivID_M021-M041,E,3,M025_B7_V5U1W,M025,B7,v5u1w,A,10,M021-M041_E3
VivID_M021-M041,F,9,M040_G8_G4H8Z,M040,G8,g4h8z,A,11,M021-M041_F9
VivID_M021-M041,G,1,M021_A9_Z3E2J,M021,A9,z3e2j,A,12,M021-M041_G1
VivID_M021-M041,G,9,M040_G10_L8R9U,M040,G10,l8r9u,B,1,M021-M041_G9
VivID_M021-M041,H,1,M021_G10_W2F8M,M021,G10,w2f8m,B,2,M021-M041_H1
VivID_M021-M041,H,2,M025_B2_G2H0P,M025,B2,g2h0p,B,3,M021-M041_H2
VivID_M021-M041,H,3,M025_F9_O2Y8X,M025,F9,o2y8x,B,4,M021-M041_H3
VivID_M021-M041,H,5,M034_C9_V1G2F,M034,C9,v1g2f,B,5,M021-M041_H5
VivID_M021-M041,H,6,M036_B5_P9E9M,M036,B5,p9e9m,B,6,M021-M041_H6
VivID_M042-M062_plate_1,A,3,M045_A6_I6F2V,M045,A6,i6f2v,B,7,M042-M062_plate_1_A3
VivID_M042-M062_plate_1,B,1,M043_A9_G2Z1J,M043,A9,g2z1j,B,8,M042-M062_plate_1_B1
VivID_M042-M062_plate_1,B,10,M051_B5_C8A6Q,M051,B5,c8a6q,B,9,M042-M062_plate_1_B10
VivID_M042-M062_plate_1,B,11,M051_F6_A3K1O,M051,F6,a3k1o,B,10,M042-M062_plate_1_B11
VivID_M042-M062_plate_1,B,8,M049_G3_M2D1S,M049,G3,m2d1s,B,11,M042-M062_plate_1_B8
VivID_M042-M062_plate_1,D,12,M053_D1_J6L0B,M053,D1,j6l0b,B,12,M042-M062_plate_1_D12
VivID_M042-M062_plate_1,E,1,M043_B9_J3A9V,M043,B9,j3a9v,C,1,M042-M062_plate_1_E1
VivID_M042-M062_plate_1,E,6,M046_E11_K6P9P,M046,E11,k6p9p,C,2,M042-M062_plate_1_E6
VivID_M042-M062_plate_1,F,10,M051_C7_F8Z0N,M051,C7,f8z0n,C,3,M042-M062_plate_1_F10
VivID_M042-M062_plate_1,F,6,M046_F3_S3W7Z,M046,F3,s3w7z,C,4,M042-M062_plate_1_F6
VivID_M042-M062_plate_1,G,1,M043_C3_B0D9N,M043,C3,b0d9n,C,5,M042-M062_plate_1_G1
VivID_M042-M062_plate_1,G,10,M051_F1_C1T5C,M051,F1,c1t5c,C,6,M042-M062_plate_1_G10
VivID_M042-M062_plate_1,G,11,M053_A9_O9R4T,M053,A9,o9r4t,C,7,M042-M062_plate_1_G11
VivID_M042-M062_plate_1,G,3,M045_D6_K5S4M,M045,D6,k5s4m,C,8,M042-M062_plate_1_G3
VivID_M042-M062_plate_1,G,8,M050_A7_J8A0R,M050,A7,j8a0r,C,9,M042-M062_plate_1_G8
VivID_M042-M062_plate_1,G,9,M050_F9_T4Y4B,M050,F9,t4y4b,C,10,M042-M062_plate_1_G9
VivID_M042-M062_plate_1,H,1,M043_C12_D6E7U,M043,C12,d6e7u,C,11,M042-M062_plate_1_H1
VivID_M042-M062_plate_1,H,2,M045_A2_O9J7O,M045,A2,o9j7o,C,12,M042-M062_plate_1_H2
VivID_M042-M062_plate_1,H,9,M050_G5_L6V1O,M050,G5,l6v1o,D,1,M042-M062_plate_1_H9
VivID_M042-M062_plate_2,A,1,M053_D8_S2V7X,M053,D8,s2v7x,D,2,M042-M062_plate_2_A1
VivID_M042-M062_plate_2,A,11,M061_D7_M6L2G,M061,D7,m6l2g,D,3,M042-M062_plate_2_A11
VivID_M042-M062_plate_2,A,6,M056_E3_C1H1L,M056,E3,c1h1l,D,4,M042-M062_plate_2_A6
VivID_M042-M062_plate_2,A,7,M057_B5_B9W6N,M057,B5,b9w6n,D,5,M042-M062_plate_2_A7
VivID_M042-M062_plate_2,B,1,M053_D12_S4I3I,M053,D12,s4i3i,D,6,M042-M062_plate_2_B1
VivID_M042-M062_plate_2,B,3,M054_F4_N8A0V,M054,F4,n8a0v,D,7,M042-M062_plate_2_B3
VivID_M042-M062_plate_2,C,10,M061_C2_G9Q1H,M061,C2,g9q1h,D,8,M042-M062_plate_2_C10
VivID_M042-M062_plate_2,C,5,M055_F8_N0Q2G,M055,F8,n0q2g,D,9,M042-M062_plate_2_C5
VivID_M042-M062_plate_2,C,7,M057_F8_J6I4C,M057,F8,j6i4c,D,10,M042-M062_plate_2_C7
VivID_M042-M062_plate_2,D,2,M054_D1_M8E6F,M054,D1,m8e6f,D,11,M042-M062_plate_2_D2
VivID_M042-M062_plate_2,D,3,M054_F11_H0D6Q,M054,F11,h0d6q,D,12,M042-M062_plate_2_D3
VivID_M042-M062_plate_2,D,9,M061_A10_K1Y1L,M061,A10,k1y1l,E,1,M042-M062_plate_2_D9
VivID_M042-M062_plate_2,E,8,M059_G10_F8U8Q,M059,G10,f8u8q,E,2,M042-M062_plate_2_E8
VivID_M042-M062_plate_2,F,4,M055_D8_A7D5P,M055,D8,a7d5p,E,3,M042-M062_plate_2_F4
VivID_M042-M062_plate_2,F,9,M061_B5_A6M3V,M061,B5,a6m3v,E,4,M042-M062_plate_2_F9
VivID_M042-M062_plate_2,G,10,M061_C12_K5W6S,M061,C12,k5w6s,E,5,M042-M062_plate_2_G10
VivID_M042-M062_plate_2,G,3,M055_A3_Q9W1X,M055,A3,q9w1x,E,6,M042-M062_plate_2_G3
VivID_M042-M062_plate_2,H,11,M061_G2_F8W5P,M061,G2,f8w5p,E,7,M042-M062_plate_2_H11
VivID_M042-M062_plate_2,H,2,M054_F2_D0M3S,M054,F2,d0m3s,E,8,M042-M062_plate_2_H2
VivID_M063-M084,A,4,M066_E6_O9W9E,M066,E6,o9w9e,E,9,M063-M084_A4
VivID_M063-M084,A,5,M079_A4_V2Y3Z,M079,A4,v2y3z,E,10,M063-M084_A5
VivID_M063-M084,B,3,M065_H4_B1S2W,M065,H4,b1s2w,E,11,M063-M084_B3
VivID_M063-M084,B,4,M066_E8_E3Z9Q,M066,E8,e3z9q,E,12,M063-M084_B4
VivID_M063-M084,C,4,M068_B5_H5X5P,M068,B5,h5x5p,F,1,M063-M084_C4
VivID_M063-M084,E,3,M066_C8_I5J4B,M066,C8,i5j4b,F,2,M063-M084_E3
VivID_M063-M084,F,3,M066_C10_W8M6X,M066,C10,w8m6x,F,3,M063-M084_F3
VivID_M063-M084,F,6,M081_F2_W4M9W,M081,F2,w4m9w,F,4,M063-M084_F6
VivID_M124-M143,A,3,M128_F11_C5K6X,M128,F11,c5k6x,F,5,M124-M143_A3
VivID_M124-M143,A,5,M131_A5_P4K2G,M131,A5,p4k2g,F,6,M124-M143_A5
VivID_M124-M143,B,4,M130_A1_A1Y4E,M130,A1,a1y4e,F,7,M124-M143_B4
VivID_M124-M143,C,10,M142_B5_B2C0F,M142,B5,b2c0f,F,8,M124-M143_C10
VivID_M124-M143,C,9,M139_H7_L6A6X,M139,H7,l6a6x,F,9,M124-M143_C9
VivID_M124-M143,D,10,M142_D5_E0K3R,M142,D5,e0k3r,F,10,M124-M143_D10
VivID_M124-M143,E,10,M142_E7_Q9R3U,M142,E7,q9r3u,F,11,M124-M143_E10
VivID_M124-M143,E,4,M130_C5_A5Y8M,M130,C5,a5y8m,F,12,M124-M143_E4
VivID_M124-M143,E,7,M135_D4_C6Y5M,M135,D4,c6y5m,G,1,M124-M143_E7
VivID_M124-M143,F,5,M131_C5_J4E7Y,M131,C5,j4e7y,G,2,M124-M143_F5
VivID_M124-M143,F,7,M135_D7_Z9N8F,M135,D7,z9n8f,G,3,M124-M143_F7
VivID_M124-M143,G,4,M130_G9_Q7O4Q,M130,G9,q7o4q,G,4,M124-M143_G4
VivID_M124-M143,G,8,M139_E6_O8V4W,M139,E6,o8v4w,G,5,M124-M143_G8
VivID_M124-M143,H,6,M133_F4_R8P5U,M133,F4,r8p5u,G,6,M124-M143_H6
VivID_M144-M163,A,3,M149_E10_C4V0C,M149,E10,c4v0c,G,7,M144-M163_A3
VivID_M144-M163,A,7,M161_D9_W7M7X,M161,D9,w7m7x,G,8,M144-M163_A7
VivID_M144-M163,B,5,M158_G5_X6S8F,M158,G5,x6s8f,G,9,M144-M163_B5
VivID_M144-M163,C,4,M158_A7_T1Q0L,M158,A7,t1q0l,G,10,M144-M163_C4
VivID_M144-M163,C,6,M161_C3_C3A8N,M161,C3,c3a8n,G,11,M144-M163_C6
VivID_M144-M163,D,7,M161_E9_T8Y5G,M161,E9,t8y5g,G,12,M144-M163_D7
VivID_M144-M163,E,3,M149_H7_P3P4M,M149,H7,p3p4m,H,1,M144-M163_E3
VivID_M144-M163,E,8,M162_H5_O9U4W,M162,H5,o9u4w,H,2,M144-M163_E8
VivID_M144-M163,F,5,M161_A4_O1O4I,M161,A4,o1o4i,H,3,M144-M163_F5
VivID_M144-M163,G,1,M146_B4_E6S8L,M146,B4,e6s8l,H,4,M144-M163_G1
VivID_M144-M163,G,7,M161_F5_M8N4M,M161,F5,m8n4m,H,5,M144-M163_G7
VivID_M144-M163,H,6,M161_D7_A8N2X,M161,D7,a8n2x,H,6,M144-M163_H6
VivID_M164-M183,B,2,M172_G3_D7T5J,M172,G3,d7t5j,H,7,M164-M183_B2
VivID_M164-M183,C,1,M169_C9_P1V8U,M169,C9,p1v8u,H,8,M164-M183_C1
VivID_M164-M183,C,3,M173_E9_O1O9N,M173,E9,o1o9n,H,9,M164-M183_C3
VivID_M164-M183,E,1,M169_G12_L2Z9W,M169,G12,l2z9w,H,10,M164-M183_E1
VivID_M164-M183,E,4,M182_F8_R8F9O,M182,F8,r8f9o,H,11,M164-M183_E4
