variable,description
caseid,Case Identification
v000,Country code and phase
v001,Cluster number
v002,Household number
v003,Respondent's line number
v004,Ultimate area unit
v005,Women's individual sample weight (6 decimals)
v006,Month of interview
v007,Year of interview
v008,Date of interview (CMC)
v009,Respondent's month of birth
v010,Respondent's year of birth
v011,Date of birth (CMC)
v012,Respondent's current age
v013,Age in 5-year groups
v014,Completeness of age information
v015,Result of individual interview
v016,Day of interview
v017,NA - CMC start of calendar
v018,NA - Row of month of interview
v019,NA - Length of calendar
v019a,Number of calendar columns
v020,Ever-married sample
v021,Primary sampling unit
v022,Sample strata for sampling errors
v023,Stratification used in sample design
v024,Province
v025,Type of place of residence
v026,De facto place of residence
v027,Number of visits
v028,Interviewer identification
v029,Keyer identification
v030,Field supervisor
v031,Field editor
v032,Office editor
v034,Line number of husband
v040,Cluster altitude in meters
v042,Household selected for hemoglobin
v044,Selected for Domestic Violence module
mv000,Country code and phase
mv001,Cluster number
mv002,Household number
mv003,Respondent's line number
mv004,Ultimate area unit
mv005,Men's sample weight (6 decimals)
mv006,Month of interview
mv007,Year of interview
mv008,Date of interview (CMC)
mv009,Month of birth
mv010,Year of birth
mv011,Date of birth (CMC)
mv012,Current age
mv013,Age in 5-year groups
mv014,Completeness of age information
mv015,Result of interview
mv016,Day of interview
mv021,Primary sampling unit
mv022,Sample stratum number
mv023,Sample domain
mv024,Province
mv025,Type of place of residence
mv026,De facto place of residence
mv027,Number of visits
mv028,Interviewer identification
mv029,Keyer identification
mv030,Field supervisor
mv031,Field editor
mv032,Office editor
mv034_1,Line number of wife/partner
mv034_2,Line number of wife/partner
mv034_3,Line number of wife/partner
mv034_4,Line number of wife/partner
mv034_5,Line number of wife/partner
mv034_6,Line number of wife/partner
mv034_7,Line number of wife/partner
mv034_8,Line number of wife/partner
mv034a_1,NA - Wife or partner***
mv034a_2,NA - Wife or partner***
mv034a_3,NA - Wife or partner***
mv034a_4,NA - Wife or partner***
mv034a_5,NA - Wife or partner***
mv034a_6,NA - Wife or partner***
mv034a_7,NA - Wife or partner***
mv034a_8,NA - Wife or partner***
mv034b_1,Age of wife/partner
mv034b_2,Age of wife/partner
mv034b_3,Age of wife/partner
mv034b_4,Age of wife/partner
mv034b_5,Age of wife/partner
mv034b_6,Age of wife/partner
mv034b_7,Age of wife/partner
mv034b_8,Age of wife/partner
mv035,Number of wives/partners
mv801,Time interview started (hhmm - 24 hour clock)
mv802,Time interview ended (hhmm - 24 hour clock)
mv803,Length of interview in minutes
v101,Province
v102,Type of place of residence
v103,NA - Childhood place of residence
v104,NA - Years lived in place of residence
v105,NA - Type of place of previous residence
v106,Highest educational level
v107,Highest year of education
v113,Source of drinking water
v115,Time to get to water source
v116,Type of toilet facility
v119,Household has: electricity
v120,Household has: radio
v121,Household has: television
v122,Household has: refrigerator
v123,Household has: bicycle
v124,Household has: motorcycle/scooter
v125,Household has: car/truck
v127,Main floor material
v128,Main wall material
v129,Main roof material
v130,Religion
v131,Ethnicity
v133,Education in single years
v134,De facto place of residence
v135,Usual resident or visitor
v136,Number of household members (listed)
v137,Number of children 5 and under in household (de jure)
v138,Number of eligible women in household (de facto)
v139,De jure region of residence
v140,De jure type of place of residence
v141,De jure place of residence
