variable,description
caseid,Case Identification
v000,Country code and phase
v001,Cluster number
v002,Household number
v003,Respondent's line number
v004,Ultimate area unit
v005,Women's individual sample weight (6 decimals)
v006,Month of interview
v007,Year of interview
v008,Date of interview (CMC)
v009,Respondent's month of birth
v010,Respondent's year of birth
v011,Date of birth (CMC)
v012,Respondent's current age
v013,Age in 5-year groups
v014,Completeness of age information
v015,Result of individual interview
v016,Day of interview
v017,NA - CMC start of calendar
v018,NA - Row of month of interview
v019,NA - Length of calendar
v019a,Number of calendar columns
v020,Ever-married sample
v021,Primary sampling unit
v022,Sample strata for sampling errors
v023,Stratification used in sample design
v024,Province
v025,Type of place of residence
v026,De facto place of residence
v027,Number of visits
v028,Interviewer identification
v029,Keyer identification
v030,Field supervisor
v031,Field editor
v032,Office editor
v034,Line number of husband
v040,Cluster altitude in meters
v042,Household selected for hemoglobin
v044,Selected for Domestic Violence module
v101,Province
v102,Type of place of residence
v103,NA - Childhood place of residence
v104,NA - Years lived in place of residence
v105,NA - Type of place of previous residence
v106,Highest educational level
v107,Highest year of education
v113,Source of drinking water
v115,Time to get to water source
v116,Type of toilet facility
v119,Household has: electricity
v120,Household has: radio
v121,Household has: television
v122,Household has: refrigerator
v123,Household has: bicycle
v124,Household has: motorcycle/scooter
v125,Household has: car/truck
v127,Main floor material
v128,Main wall material
v129,Main roof material
v130,Religion
v131,Ethnicity
v133,Education in single years
v134,De facto place of residence
v135,Usual resident or visitor
v136,Number of household members (listed)
v137,Number of children 5 and under in household (de jure)
v138,Number of eligible women in household (de facto)
v139,De jure region of residence
v140,De jure type of place of residence
v141,De jure place of residence
v149,Educational attainment
v150,Relationship to household head
v151,Sex of household head
v152,Age of household head
v153,Household has: telephone (land-line)
awfactt,All woman factor - total
awfactu,All woman factor - urban/rural
awfactr,All woman factor - regional
awfacte,All woman factor - educational
awfactw,All woman factor - wealth index
v155,Literacy
v156,NA - Ever participated in a literacy program outside of primary
v157,Frequency of reading newspaper or magazine
v158,Frequency of listening to radio
v159,Frequency of watching television
v160,Toilet facilities shared with other households
v161,Type of cooking fuel
v166,NA - Result of salt test for iodine
v167,Number of trips in last 12 months
v168,Away for more than one month in last 12 months
v190,Wealth index
v191,Wealth index factor score (5 decimals)
ml101,Type of mosquito bed net(s) slept under last night
bidx_01,Birth column number
bidx_02,Birth column number
bidx_03,Birth column number
bidx_04,Birth column number
bidx_05,Birth column number
bidx_06,Birth column number
bidx_07,Birth column number
bidx_08,Birth column number
bidx_09,Birth column number
bidx_10,Birth column number
bidx_11,Birth column number
bidx_12,Birth column number
bidx_13,Birth column number
bidx_14,Birth column number
bidx_15,Birth column number
bidx_16,Birth column number
bidx_17,Birth column number
bidx_18,Birth column number
bidx_19,Birth column number
bidx_20,Birth column number
bord_01,Birth order number
bord_02,Birth order number
bord_03,Birth order number
bord_04,Birth order number
bord_05,Birth order number
bord_06,Birth order number
bord_07,Birth order number
bord_08,Birth order number
bord_09,Birth order number
bord_10,Birth order number
bord_11,Birth order number
bord_12,Birth order number
bord_13,Birth order number
bord_14,Birth order number
bord_15,Birth order number
bord_16,Birth order number
bord_17,Birth order number
bord_18,Birth order number
bord_19,Birth order number
bord_20,Birth order number
