variable,description,
caseid,Case Identification,
midx,Index to Birth History,
v000,Country code and phase,
v001,Cluster number,
v002,Household number,
v003,Respondent's line number,
v004,Ultimate area unit,
v005,Women's individual sample weight (6 decimals),
v006,Month of interview,
v007,Year of interview,
v008,Date of interview (CMC),
v009,Respondent's month of birth,
v010,Respondent's year of birth,
v011,Date of birth (CMC),
v012,Respondent's current age,
v013,Age in 5-year groups,
v014,Completeness of age information,
v015,Result of individual interview,
v016,Day of interview,
v017,NA - CMC start of calendar,
v018,NA - Row of month of interview,
v019,NA - Length of calendar,
v019a,Number of calendar columns,
v020,Ever-married sample,
v021,Primary sampling unit,
v022,Sample strata for sampling errors,
v023,Stratification used in sample design,
v024,Province,
v025,Type of place of residence,
v026,De facto place of residence,
v027,Number of visits,
v028,Interviewer identification,
v029,Keyer identification,
v030,Field supervisor,
v031,Field editor,
v032,Office editor,
v034,Line number of husband,
v040,Cluster altitude in meters,
v042,Household selected for hemoglobin,
v044,Selected for Domestic Violence module,
v101,Province,
v102,Type of place of residence,
v103,NA - Childhood place of residence,
v104,NA - Years lived in place of residence,
v105,NA - Type of place of previous residence,
v106,Highest educational level,
v107,Highest year of education,
v113,Source of drinking water,
v115,Time to get to water source,
v116,Type of toilet facility,
v119,Household has: electricity,
v120,Household has: radio,
v121,Household has: television,
v122,Household has: refrigerator,
v123,Household has: bicycle,
v124,Household has: motorcycle/scooter,
v125,Household has: car/truck,
v127,Main floor material,
v128,Main wall material,
v129,Main roof material,
v130,Religion,
v131,Ethnicity,
v133,Education in single years,
v134,De facto place of residence,
v135,Usual resident or visitor,
v136,Number of household members (listed),
v137,Number of children 5 and under in household (de jure),
v138,Number of eligible women in household (de facto),
v139,De jure region of residence,
v140,De jure type of place of residence,
v141,De jure place of residence,
v149,Educational attainment,
v150,Relationship to household head,
v151,Sex of household head,
v152,Age of household head,
v153,Household has: telephone (land-line),
awfactt,All woman factor - total,
awfactu,All woman factor - urban/rural,
awfactr,All woman factor - regional,
awfacte,All woman factor - educational,
awfactw,All woman factor - wealth index,
v155,Literacy,
v156,NA - Ever participated in a literacy program outside of primary,
v157,Frequency of reading newspaper or magazine,
v158,Frequency of listening to radio,
v159,Frequency of watching television,
v160,Toilet facilities shared with other households,
v161,Type of cooking fuel,
v166,NA - Result of salt test for iodine,
v167,Number of trips in last 12 months,
v168,Away for more than one month in last 12 months,
v190,Wealth index,
v191,Wealth index factor score (5 decimals),
ml101,Type of mosquito bed net(s) slept under last night,
v201,Total children ever born,
v202,Sons at home,
v203,Daughters at home,
v204,Sons elsewhere,
v205,Daughters elsewhere,
v206,Sons who have died,
v207,Daughters who have died,
v208,Births in last five years,
v209,Births in past year,
v210,Births in month of interview,
v211,Date of first birth (CMC),
v212,Age of respondent at 1st birth,
v213,Currently pregnant,
v214,Duration of current pregnancy,
v215,Time since last menstrual period,
v216,Menstruated in last six weeks,
v217,Knowledge of ovulatory cycle,
v218,Number of living children,
v219,Living children + current pregnancy,
v220,Living children + current pregnancy (grouped),
v221,Marriage to first birth interval (months),
v222,Last birth to interview (months),
v223,Completeness of current pregnancy information,
v224,Entries in birth history,
v225,Current pregnancy wanted,
v226,Time since last period (comp) (months),
v227,Flag for last period,
v228,Ever had a terminated pregnancy,
v229,Month pregnancy ended,
v230,Year pregnancy ended,
v231,CMC pregnancy ended,
v232,Completeness of last termination information,
v233,Months when pregnancy ended,
v234,Other such pregnancies,
v235,NA - Index last child prior to maternity-health (calendar),
v237,Birth between last and interview,
v238,Births in last three years,
v239,NA - Pregnancies terminated before calendar beginning,
v240,NA - Month of last termination prior to calendar,
v241,NA - Year of last termination prior to calendar,
v242,NA - CMC termination ended prior to calendar,
v243,NA - Completeness of last termination date prior to calendar,
v310,NA - Living children at first use,
v311,NA - Children at first use (grouped),
v312,Current contraceptive method,
v313,Current use by method type,
v315,Month of start of use of method,
v316,Year of start of use of method,
v317,Date of start of use of method (CMC),
v318,Completeness of information,
v319,Years since sterilization,
v320,Age at sterilization,
v321,Marital duration at sterilization,
v322,Parity at sterilization,
v323,Brand of pill used,
v323a,Brand of condom used,
v325a,NA - Cost of current method (in CURRENCY),
v326,Last source for current users,
v327,Last source for users by type,
v337,Months of use of current method,
v359,NA - Last method discontinued in last 5 years,
v360,NA - Reason of last discontinuation,
v361,NA - Pattern of use,
v362,Intention to use,
v363,NA - Preferred future method,
v364,Contraceptive use and intention,
v367,Wanted last child,
v372,NA - Shown pill package,
v372a,NA - Shown condom package,
v375a,NA - Main reason not using a method,
v376,NA - Main reason not to use a method,
v376a,NA - Would ever use method if married,
v379,NA - Source known for any method,
v380,NA -  Source known for any method,
v384a,Heard family planning on radio last few months,
v384b,Heard family planning on TV last few months,
v384c,Heard family planning in newspaper/magazine last few months,
v393,Visited by family planning worker last 12 months,
v394,Visited health facility last 12 months,
v395,"At health facility, told of family planning",
v3a00a,Source of family planning for non-users: government hospital,
v3a00b,Source of family planning for non-users: FP clinic,
v3a00c,Source of family planning for non-users: government center/health post,
v3a00d,Source of family planning for non-users: maternity clinic,
v3a00e,Source of family planning for non-users: community Relay,
v3a00f,Source of family planning for non-users: other public,
v3a00g,NA - Source of family planning for non-users: CS public sector,
v3a00h,NA - Source of family planning for non-users: CS public sector,
v3a00i,NA - Source of family planning for non-users: CS public sector,
v3a00j,Source of family planning for non-users: private hospital/clinic,
v3a00k,Source of family planning for non-users: pharmacy,
v3a00l,Source of family planning for non-users: private doctor,
v3a00m,Source of family planning for non-users: NGO,
v3a00n,Source of family planning for non-users: private health center,
v3a00o,Source of family planning for non-users: medical Office,
v3a00p,Source of family planning for non-users: mobile nurse,
v3a00q,Source of family planning for non-users: private fieldworker,
v3a00r,Source of family planning for non-users:  other medical private,
v3a00s,Source of family planning for non-users: shop,
v3a00t,Source of family planning for non-users: religious Institutions,
v3a00u,Source of family planning for non-users: parents/friends,
v3a00v,Source of family planning for non-users: bar/night club,
v3a00w,NA - Source of family planning for non-users: CS other,
v3a00x,Source of family planning for non-users: other,
v3a00y,Source of family planning for non-users: no source,
v3a00z,Source of family planning for non-users: any source,
v3a01,NA - Told sterilization would mean no more children,
v3a02,Told about side effects,
v3a03,Told about side effects by health or family planning worker,
v3a04,Told how to deal with side effects,
v3a05,Told about other family planning methods,
v3a06,Told about other family planning methods by health or family planning worker,
v3a07,First source for current method,
v3a08a,Reason not using: not married,
v3a08b,Reason not using: not having sex,
v3a08c,Reason not using: infrequent sex,
