variable,description
hhid,Case Identification
hv000,Country code and phase
hv001,Cluster number
hv002,Household number
hv003,Respondent's line number (answering Household questionnaire)
hv004,Ultimate area unit
hv005,Household sample weight (6 decimals)
hv006,Month of interview
hv007,Year of interview
hv008,Date of interview (CMC)
hv009,Number of household members
hv010,Number of eligible women in household
hv011,Number of eligible men in household
hv012,Number of de jure members
hv013,Number of de facto members
hv014,Number of children 5 and under (de jure)
hv015,Result of household interview
hv016,Day of interview
hv017,Number of visits
hv018,Interviewer identification
hv019,Keyer identification
hv020,Ever-married sample
hv021,Primary sampling unit
hv022,Sample strata for sampling errors
hv023,Stratification used in sample design
hv024,Province
hv025,Type of place of residence
hv026,Place of residence
hv027,Household selected for male interview
hv028,Household weight for male subsample (6 decimals)
hv030,Field supervisor
hv031,Field editor
hv032,Office editor
hv035,Number of eligible children for height and weight
hv040,Cluster altitude in meters
hv041,Total adults measured
hv042,Household selected for hemoglobin
hv044,Household selected for Domestic Violence module
hv201,Source of drinking water
hv202,NA - Source of non-drinking water
hv204,Time to get to water source (minutes)
hv205,Type of toilet facility
hv206,Has electricity
hv207,Has radio
hv208,Has television
hv209,Has refrigerator
hv210,Has bicycle
hv211,Has motorcycle/scooter
hv212,Has car/truck
hv213,Main floor material
hv214,Main wall material
hv215,Main roof material
hv216,Number of rooms used for sleeping
hv217,Relationship structure
hv218,Line number of head of household
hv219,Sex of head of household
hv220,Age of head of household
hv221,Has telephone (land-line)
hv225,Share toilet with other households
hv226,Type of cooking fuel
hv227,Has mosquito bed net for sleeping
hv228,Children under 5 slept under mosquito bed net last night
hv230a,Place where household members wash their hands
hv230b,Presence of water at hand washing place
hv232,Items present: Soap or detergent
hv232b,"Items present: Ash, mud, sand"
hv232c,NA - Items present: CS
hv232d,NA - Items present: CS
hv232e,NA - Items present: CS
hv232y,Items present: None
hv234,NA - Result of salt test for iodine (PPM)
hv234a,Result of salt test for iodine
hv235,Location of source for water
hv236,NA - Person fetching water
hv237,Anything done to water to make safe to drink
hv237a,Water usually treated by: boil
hv237b,Water usually treated by: add bleach/chlorine
hv237c,Water usually treated by: strain through a cloth
hv237d,Water usually treated by: use water filter
hv237e,Water usually treated by: solar disinfection
hv237f,Water usually treated by: let it stand and settle
hv237g,NA - Water usually treated by: CS
hv237h,NA - Water usually treated by: CS
hv237i,NA - Water usually treated by: CS
hv237j,NA - Water usually treated by: CS
hv237k,NA - Water usually treated by: CS
hv237x,Water usually treated by: other
hv237z,Water usually treated by: don't know
hv238,Number of households sharing toilet
hv239,NA - Food cooked on stove or open fire
hv240,"NA - Household has a chimney, hood or neither"
hv241,Food cooked in the house/ separate building/ outdoors
hv242,Household has separate room used as kitchen
hv243a,Has mobile telephone
hv243b,Has watch
hv243c,Has animal-drawn cart
hv243d,Has boat with a motor
hv244,Owns land usable for agriculture
hv245,Hectares of agricultural land (1 decimal)
hv246,"Owns livestock, herds or farm animals"
hv246a,NA - Owns cattle
hv246b,Owns cows/ bulls
hv246c,Owns horses/ donkeys/ mules
hv246d,Owns goats
hv246e,Owns sheep
hv246f,Owns chickens
hv246g,Pigs
hv246h,Duck
hv246i,NA - Owns CS
hv246j,NA - Owns CS
hv246k,NA - Owns CS
hv247,Has bank account
hv252,Frequency household members smoke inside the house
hv253,NA - Has dwelling been sprayed against mosquitoes in last 12 months
hv253a,NA - Dwelling sprayed by: government worker/program
hv253b,NA - Dwelling sprayed by: private company
hv253c,NA - Dwelling sprayed by: NGO
hv253d,NA - Dwelling sprayed by: CS
hv253e,NA - Dwelling sprayed by: CS
hv253f,NA - Dwelling sprayed by: CS
hv253g,NA - Dwelling sprayed by: CS
hv253h,NA - Dwelling sprayed by: CS
hv253x,NA - Dwelling sprayed by: other
hv253z,NA - Dwelling sprayed by: don't know
hv270,Wealth index
hv271,Wealth index factor score (5 decimals)
hml1,Number of mosquito bed nets
hml1a,Number of mosquito bed nets with specific information
hml2,Number of children under mosquito bed net previous night
chl0,NA - Number of de-jure children 5-14 for child labor module
shpool,Pool
shnprovin,New Province
sh110f,Has generator
sh110g,Has stove/Cooker
sh110h,Has chair
sh110i,Has bed
sh110j,Has lights
