var_label,Covariates,Pfalciparum-Negative,Pfalciparum-Positive,matchcol
,n,11254.2,4892.8,n
Vivax Infxn,"pv18s_fctb, vivpos (%)",327.6 (2.9),151.7 (3.1),pv18s_fctb
precip,precip_ann_cont_clst (mean (SD)),124.22 (16.21),123.73 (14.70),precip_ann_cont_clst
temp,temp_ann_cont_clst (mean (SD)),19.41 (2.90),20.14 (1.80),temp_ann_cont_clst
Altitude,alt_dem_cont_clst (mean (SD)),753.05 (476.71),616.62 (307.89),alt_dem_cont_clst
Distance to Water,wtrdist_cont_clst (mean (SD)),5195.11 (7124.26),6867.21 (8185.56),wtrdist_cont_clst
"Urbanicity latent variable, night lights",built_population_2014_cont_clst (mean (SD)),0.25 (0.36),0.16 (0.28),built_population_2014_cont_clst
"Urbanicity latent variable, build",nightlights_composite_cont_clst (mean (SD)),3.56 (8.17),1.27 (4.49),nightlights_composite_cont_clst
"Urbanicity latent variable, worldpop",all_population_count_2015_cont_clst (mean (SD)),87901.81 (143671.95),44509.81 (87493.70),all_population_count_2015_cont_clst
"Urbanicity latent variable, travel times",travel_times_2015_cont_clst (mean (SD)),143.03 (194.35),171.47 (221.22),travel_times_2015_cont_clst
Distance to Healthcare Center,hlthdist_cont_clst (mean (SD)),56876.42 (60806.85),71459.38 (63724.31),hlthdist_cont_clst
Any antimalarial Use (percent),anyatm_cont_clst (mean (SD)),0.30 (0.24),0.33 (0.24),anyatm_cont_clst
HIV status,"hiv03_fctb, hivpos (%)",125.6 (1.1),32.2 (0.7),hiv03_fctb
Anemia,hab57_fctb (%),"","",hab57_fctb
,   no,8556.5 (76.0),3401.2 (69.5),""
,   yes,2674.9 (23.8),1468.4 (30.0),""
,   NA,22.8 (0.2),23.1 (0.5),""
Sex,"hv104_fctb, male (%)",5032.1 (44.7),2527.6 (51.7),hv104_fctb
Age,hab1_cont (mean (SD)),30.32 (10.96),28.18 (10.79),hab1_cont
Housing Materials,hv21345_fctb (%),"","",hv21345_fctb
,   modern,2506.4 (22.3),595.5 (12.2),""
,   traditional,8742.8 (77.7),4295.3 (87.8),""
,   NA,5.0 (0.0),2.0 (0.0),""
Wealth,"wlthrcde_fctb, poor (%)",4244.2 (37.7),2219.0 (45.4),wlthrcde_fctb
Education,hv106_fctb (%),"","",hv106_fctb
,   lower,4446.6 (39.5),2109.7 (43.1),""
,   higher,6797.3 (60.4),2778.1 (56.8),""
,   NA,10.3 (0.1),4.9 (0.1),""
Owns Livestock,hv246_fctb (%),"","",hv246_fctb
,   no,6101.6 (54.2),2341.7 (47.9),""
,   yes,5152.6 (45.8),2549.9 (52.1),""
,   NA,0.0 (0.0),1.1 (0.0),""
Number of Children Under 5,hv014_cont (mean (SD)),1.46 (1.20),1.45 (1.19),hv014_cont
Number of Household Members,hv009_cont (mean (SD)),6.78 (3.27),6.68 (3.08),hv009_cont
ITN Use,"ITN_fctb, yes (%)",5563.9 (49.4),2147.8 (43.9),ITN_fctb
